Round,Team,Player,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two
3,Cowboys,Murray Taulagi,2,Winger,80,4,1,0,0,0,0,0,0,33,13,133,10,39,1,0,0,0,1,0,9,3.16,0,0,0,1,0,2,16,0.15,0.5,4,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
3,Cowboys,Esan Marsters,3,Centre,80,0,0,0,0,0,0,0,0,33,10,105,0,32,0,0,0,0,3,0,5,3.72,3,28,0,3,0,4,11,0.4,0.8,12,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
3,Cowboys,Hamiso Tabuai-Fidow,4,Centre,80,4,1,0,0,0,0,0,0,28,9,67,2,11,1,0,0,0,3,0,8,3.45,0,0,0,0,0,1,12,0.11,0.667,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,80,0
3,Cowboys,Valentine Holmes,5,Fullback,80,0,0,0,2,0,0,0,0,47,22,228,94,48,1,1,1,0,5,0,12,3.61,2,21,0,1,1,15,33,0.68,0.5,4,3,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,80,0
3,Cowboys,Jake Clifford,7,Halfback,80,0,0,0,0,0,0,0,0,27,10,71,0,17,0,0,0,0,0,0,5,3.96,0,0,0,0,1,15,31,1.5,0.75,18,4,2,0,0,9,216,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,80,0
3,Cowboys,Francis Molo,8,Prop,41,0,0,0,0,0,0,0,0,21,8,65,0,31,0,0,0,0,0,8,6,3.43,0,0,0,1,0,2,10,0.25,0.826,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17
3,Cowboys,Reece Robson,9,Hooker,48,0,0,0,0,0,0,0,0,30,2,18,0,5,0,0,0,0,0,0,1,3s,2,18,0,0,0,62,64,31,0.857,30,3,2,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
3,Cowboys,Jordan McLean,10,Prop,47,0,0,0,0,0,0,0,0,34,12,88,12,34,0,0,0,0,1,7,8,3.47,0,0,0,0,0,5,13,0.42,0.958,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25
3,Cowboys,Mitchell Dunn,11,2nd,80,0,0,0,0,0,0,0,0,42,13,91,0,38,0,0,0,0,1,13,12,2.92,0,0,0,1,1,1,14,0.08,0.8079999999999999,42,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,80,0
3,Cowboys,Coen Hess,12,2nd,73,0,0,0,0,0,0,0,0,30,8,81,0,33,0,0,0,0,1,8,7,3.33,0,0,0,0,0,0,9,0,0.885,23,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,73,0
